Best Performance,Running Time
0.0,0.12145495414733887
0.000993048659384,0.09997081756591797
0.000993048659384,0.09626126289367676
0.000993048659384,0.09722542762756348
0.000993048659384,0.09616732597351074
0.000993048659384,0.09670186042785645
0.000993048659384,0.09695219993591309
0.000993048659384,0.0975189208984375
0.000993048659384,0.0989229679107666
0.000993048659384,0.09794974327087402
0.00198609731877,0.10562014579772949
0.00297914597815,0.10145092010498047
0.000993048659384,0.09981298446655273
0.00297914597815,0.1017918586730957
0.000993048659384,0.10222196578979492
0.000993048659384,0.09806013107299805
0.000993048659384,0.12044405937194824
0.000993048659384,0.10192418098449707
0.000993048659384,0.10191106796264648
0.000993048659384,0.10106682777404785
