Best Performance,Running Time
0.0,0.05153608322143555
0.0001388996695,0.05070996284484863
4.62998898335e-05,0.050173044204711914
4.08528439707e-06,0.05047488212585449
3.9491082505e-05,0.04999518394470215
0.0,0.05022406578063965
2.72352293138e-06,0.050359249114990234
4.08528439707e-05,0.05061006546020508
8.03439264758e-05,0.050431013107299805
0.0,0.050750017166137695
5.7193981559e-05,0.05336308479309082
4.49381283678e-05,0.050457000732421875
2.31499449167e-05,0.05138707160949707
3.26822751766e-05,0.05394101142883301
7.62586420787e-05,0.05383706092834473
6.26410274218e-05,0.05057406425476074
0.0,0.05218791961669922
8.17056879415e-06,0.05294322967529297
0.000122558531912,0.05144500732421875
6.26410274218e-05,0.05195212364196777
