Best Performance,Running Time
4915.8,0.1423487663269043
4526.8,0.1417710781097412
4585.0,0.14190268516540527
4892.2,0.14502716064453125
4666.8,0.1423180103302002
4578.8,0.14399385452270508
4449.0,0.14252281188964844
4423.2,0.14513325691223145
4783.8,0.14284586906433105
4441.6,0.14490914344787598
4606.8,0.1470470428466797
4662.8,0.14777207374572754
4696.6,0.14571595191955566
4332.2,0.1555640697479248
4651.2,0.1502540111541748
4408.6,0.14977502822875977
4356.6,0.14636707305908203
4764.6,0.15253400802612305
4851.6,0.15122103691101074
4596.6,0.1534109115600586
