Best Performance,Running Time
60660.8,0.25360774993896484
61603.0,0.2576749324798584
60621.8,0.2533409595489502
57762.2,0.255695104598999
57605.8,0.2555363178253174
57720.4,0.257551908493042
57668.2,0.2541930675506592
58246.4,0.25762104988098145
60220.0,0.2580270767211914
59040.8,0.25483083724975586
60340.6,0.26038694381713867
58358.0,0.26270389556884766
56400.0,0.26447415351867676
59141.8,0.2721128463745117
55203.2,0.2736389636993408
57988.0,0.26845407485961914
60095.6,0.27848029136657715
56762.2,0.27013731002807617
60751.0,0.2684900760650635
58051.4,0.27206969261169434
