Best Performance,Running Time
1.46,0.021526098251342773
1.514,0.02193307876586914
1.46,0.022151947021484375
1.46,0.022135019302368164
1.472,0.021615982055664062
1.52,0.0220029354095459
1.46,0.02202606201171875
1.46,0.021918296813964844
1.514,0.022150039672851562
1.514,0.02223801612854004
1.472,0.021704912185668945
1.514,0.021856069564819336
1.472,0.022214174270629883
1.472,0.023713111877441406
1.46,0.022898197174072266
1.46,0.022253036499023438
1.52,0.023720979690551758
1.514,0.022248029708862305
1.46,0.0220339298248291
1.472,0.023319005966186523
