Best Performance,Running Time
45922.8,0.040075063705444336
45939.8,0.039964914321899414
46070.8,0.03873801231384277
45980.8,0.040120840072631836
46094.8,0.03884696960449219
46047.4,0.04061007499694824
46039.0,0.03873920440673828
45922.8,0.040704965591430664
46070.8,0.038947105407714844
46078.8,0.03977179527282715
46097.6,0.03952908515930176
45939.8,0.040673017501831055
46035.0,0.040396928787231445
46039.0,0.040328025817871094
46064.6,0.04084491729736328
46035.0,0.039405107498168945
46035.0,0.04021406173706055
46097.4,0.041774749755859375
46094.8,0.039954185485839844
46022.8,0.039343833923339844
