Best Performance,Running Time
23.212,0.05263113975524902
21.694,0.0522007942199707
22.248,0.05133819580078125
22.452,0.0520780086517334
22.746,0.05206179618835449
22.396,0.05203390121459961
23.12,0.05247378349304199
23.102,0.05200695991516113
21.758,0.051963090896606445
22.138,0.051759958267211914
22.254,0.052471160888671875
22.476,0.05308389663696289
23.408,0.05399894714355469
22.626,0.05786609649658203
23.552,0.055406808853149414
22.432,0.0537872314453125
22.172,0.056598663330078125
21.758,0.053832054138183594
21.906,0.053195953369140625
22.486,0.05601906776428223
