Best Performance,Running Time
31.6962,0.03770327568054199
31.376,0.03822493553161621
31.2602,0.03799700736999512
31.6506,0.0375978946685791
31.6628,0.037593841552734375
31.0888,0.03809404373168945
31.6822,0.03838491439819336
31.0946,0.03766798973083496
31.2602,0.03772401809692383
31.4314,0.037519216537475586
31.3372,0.03801321983337402
30.7448,0.03806495666503906
31.2602,0.038394927978515625
32.0884,0.04147195816040039
32.4226,0.039711952209472656
31.5162,0.03879404067993164
31.283,0.04136824607849121
31.368,0.04017210006713867
30.8186,0.03846597671508789
31.2602,0.04042410850524902
